Opportunities.Value,Opportunities.Campaign Name,Opportunities.Budget,Opportunities.Discount,Opportunities.Opportunity Owner Name,CountNonNull(Opportunities.Status),
"$1,100",Consumer Tradeshow,"$1,375",5.2%,Anne Weiler,1,NaN
"$1,100",Consumer Tradeshow,"$1,375",5.2%,Greg Winston,1,NaN
"$1,100",Consumer Tradeshow,"$1,375",7.8%,Alan Steiner,2,NaN
"$1,100",Consumer Tradeshow,"$1,375",7.8%,David So,3,NaN
"$1,100",Customer Care Campaign,"$1,375",6.2%,Greg Winston,3,NaN
"$1,100",Customer Care Campaign,"$1,375",4.8%,Alicia Thomber,3,NaN
"$1,100",Customer Care Campaign,"$1,375",4.8%,David So,1,NaN
"$1,100",Customer Care Campaign,"$1,375",4.8%,Eric Gruber,1,NaN
"$1,100",Customer Care Campaign,"$1,375",2.7%,Greg Winston,1,NaN
"$1,100",Customer Care Campaign,"$1,375",4.7%,Sanjay Shah,1,NaN
"$1,100",Customer Care Campaign,"$1,375",4.7%,Greg Winston,1,NaN
"$1,100",Customer Care Campaign,"$1,375",2.8%,Molly Clark,1,NaN
"$1,100",Customer Care Campaign,"$1,375",3.0%,Anne Weiler,1,NaN
"$1,200",(Blank),"$1,500",0.2%,Sanjay Shah,1,NaN
"$1,200",(Blank),"$1,500",0.2%,Greg Winston,4,NaN
"$1,200",(Blank),"$1,500",0.2%,Renee Lo,4,NaN
"$1,200",(Blank),"$1,500",0.3%,Alan Steiner,2,NaN
"$1,200",(Blank),"$1,500",0.3%,Alicia Thomber,1,NaN
"$1,200",(Blank),"$1,500",0.3%,David So,3,NaN
"$1,200",(Blank),"$1,500",0.3%,Eric Gruber,5,NaN
"$1,200",(Blank),"$1,500",0.3%,Jeff Hay,4,NaN
"$1,200",(Blank),"$1,500",0.3%,Julian Isla,1,NaN
"$1,200",(Blank),"$1,500",0.3%,Molly Clark,6,NaN
"$1,200",(Blank),"$1,500",0.3%,Spencer Low,1,NaN
"$1,200",(Blank),"$1,500",0.5%,Anne Weiler,2,NaN
"$1,200",(Blank),"$1,500",3.7%,Anne Weiler,2,NaN
"$1,200",(Blank),"$1,500",3.7%,Sanjay Shah,1,NaN
"$1,200",(Blank),"$1,500",3.7%,Greg Winston,4,NaN
"$1,200",(Blank),"$1,500",3.7%,Renee Lo,1,NaN
"$1,200",(Blank),"$1,500",3.8%,Alan Steiner,4,NaN
"$1,200",(Blank),"$1,500",3.8%,Alicia Thomber,5,NaN
"$1,200",(Blank),"$1,500",3.8%,David So,8,NaN
"$1,200",(Blank),"$1,500",3.8%,Eric Gruber,6,NaN
"$1,200",(Blank),"$1,500",3.8%,Julian Isla,2,NaN
"$1,200",(Blank),"$1,500",3.8%,Molly Clark,7,NaN
"$1,200",(Blank),"$1,500",3.8%,Spencer Low,6,NaN
"$1,200",(Blank),"$1,500",4.0%,Anne Weiler,7,NaN
"$1,200",(Blank),"$1,500",4.0%,Renee Lo,1,NaN
"$1,200",(Blank),"$1,500",4.0%,Alan Steiner,4,NaN
"$1,200",(Blank),"$1,500",4.0%,Molly Clark,1,NaN
"$1,200",(Blank),"$1,500",0.1%,Sanjay Shah,1,NaN
"$1,200",(Blank),"$1,500",3.6%,Anne Weiler,1,NaN
"$1,200",(Blank),"$1,500",3.6%,Sanjay Shah,1,NaN
"$1,200",(Blank),"$1,500",2.1%,Anne Weiler,2,NaN
"$1,200",(Blank),"$1,500",2.1%,Sanjay Shah,3,NaN
"$1,200",(Blank),"$1,500",2.2%,Anne Weiler,4,NaN
"$1,200",(Blank),"$1,500",2.2%,Sanjay Shah,7,NaN
"$1,200",(Blank),"$1,500",2.2%,Greg Winston,29,NaN
"$1,200",(Blank),"$1,500",2.2%,Renee Lo,3,NaN
"$1,200",(Blank),"$1,500",2.3%,Alan Steiner,12,NaN
"$1,200",(Blank),"$1,500",2.3%,Alicia Thomber,25,NaN
"$1,200",(Blank),"$1,500",2.3%,David So,38,NaN
"$1,200",(Blank),"$1,500",2.3%,Eric Gruber,16,NaN
"$1,200",(Blank),"$1,500",2.3%,Jeff Hay,12,NaN
"$1,200",(Blank),"$1,500",2.3%,Julian Isla,15,NaN
"$1,200",(Blank),"$1,500",2.3%,Molly Clark,27,NaN
"$1,200",(Blank),"$1,500",2.3%,Spencer Low,8,NaN
"$1,200",(Blank),"$1,500",2.5%,Anne Weiler,24,NaN
"$1,200",(Blank),"$1,500",2.5%,Renee Lo,1,NaN
"$1,200",(Blank),"$1,500",2.5%,Alan Steiner,11,NaN
"$1,200",(Blank),"$1,500",2.5%,Molly Clark,2,NaN
"$1,200",(Blank),"$1,500",6.1%,Anne Weiler,1,NaN
"$1,200",(Blank),"$1,500",6.1%,Sanjay Shah,1,NaN
"$1,200",(Blank),"$1,500",6.2%,Sanjay Shah,1,NaN
"$1,200",(Blank),"$1,500",6.2%,Greg Winston,8,NaN
"$1,200",(Blank),"$1,500",6.3%,Alan Steiner,1,NaN
"$1,200",(Blank),"$1,500",6.3%,Alicia Thomber,1,NaN
"$1,200",(Blank),"$1,500",6.3%,David So,6,NaN
"$1,200",(Blank),"$1,500",6.3%,Eric Gruber,4,NaN
"$1,200",(Blank),"$1,500",6.3%,Julian Isla,3,NaN
"$1,200",(Blank),"$1,500",6.3%,Molly Clark,3,NaN
"$1,200",(Blank),"$1,500",6.3%,Spencer Low,2,NaN
"$1,200",(Blank),"$1,500",6.5%,Anne Weiler,2,NaN
"$1,200",(Blank),"$1,500",6.5%,Renee Lo,2,NaN
"$1,200",(Blank),"$1,500",6.5%,Alan Steiner,3,NaN
"$1,200",Consumer Tradeshow,"$1,500",3.7%,Renee Lo,1,NaN
"$1,200",Consumer Tradeshow,"$1,500",3.8%,David So,2,NaN
"$1,200",Consumer Tradeshow,"$1,500",3.8%,Spencer Low,1,NaN
"$1,200",Consumer Tradeshow,"$1,500",4.0%,Anne Weiler,1,NaN
"$1,200",Consumer Tradeshow,"$1,500",5.5%,Alan Steiner,1,NaN
"$1,200",Consumer Tradeshow,"$1,500",5.3%,Alan Steiner,1,NaN
"$1,200",Consumer Tradeshow,"$1,500",5.3%,Alicia Thomber,1,NaN
"$1,200",Consumer Tradeshow,"$1,500",5.3%,Molly Clark,1,NaN
"$1,200",Consumer Tradeshow,"$1,500",5.2%,Greg Winston,2,NaN
"$1,200",Consumer Tradeshow,"$1,500",7.7%,Greg Winston,1,NaN
"$1,200",Consumer Tradeshow,"$1,500",7.8%,David So,2,NaN
"$1,200",Customer Care Campaign,"$1,500",6.3%,Alicia Thomber,1,NaN
"$1,200",Customer Care Campaign,"$1,500",6.3%,Molly Clark,1,NaN
"$1,200",Customer Care Campaign,"$1,500",4.6%,Anne Weiler,1,NaN
"$1,200",Customer Care Campaign,"$1,500",4.8%,Alan Steiner,1,NaN
"$1,200",Customer Care Campaign,"$1,500",4.8%,Eric Gruber,1,NaN
"$1,200",Customer Care Campaign,"$1,500",4.8%,Julian Isla,1,NaN
"$1,200",Customer Care Campaign,"$1,500",4.8%,Molly Clark,3,NaN
"$1,200",Customer Care Campaign,"$1,500",4.7%,Anne Weiler,1,NaN
"$1,200",Customer Care Campaign,"$1,500",2.8%,Molly Clark,1,NaN
"$1,300",(Blank),"$1,625",0.2%,Anne Weiler,1,NaN
"$1,300",(Blank),"$1,625",0.2%,Sanjay Shah,1,NaN
"$1,300",(Blank),"$1,625",0.2%,Greg Winston,3,NaN
"$1,300",(Blank),"$1,625",0.2%,Renee Lo,1,NaN
"$1,300",(Blank),"$1,625",0.3%,Alan Steiner,3,NaN
"$1,300",(Blank),"$1,625",0.3%,Alicia Thomber,2,NaN
"$1,300",(Blank),"$1,625",0.3%,David So,4,NaN
"$1,300",(Blank),"$1,625",0.3%,Eric Gruber,4,NaN
"$1,300",(Blank),"$1,625",0.3%,Julian Isla,2,NaN
"$1,300",(Blank),"$1,625",0.3%,Molly Clark,8,NaN
"$1,300",(Blank),"$1,625",0.3%,Spencer Low,3,NaN
"$1,300",(Blank),"$1,625",0.5%,Anne Weiler,1,NaN
"$1,300",(Blank),"$1,625",0.5%,Alan Steiner,2,NaN
"$1,300",(Blank),"$1,625",3.7%,Anne Weiler,1,NaN
"$1,300",(Blank),"$1,625",3.7%,Sanjay Shah,1,NaN
"$1,300",(Blank),"$1,625",3.7%,Greg Winston,5,NaN
"$1,300",(Blank),"$1,625",3.8%,Alan Steiner,1,NaN
"$1,300",(Blank),"$1,625",3.8%,Alicia Thomber,1,NaN
"$1,300",(Blank),"$1,625",3.8%,David So,6,NaN
"$1,300",(Blank),"$1,625",3.8%,Eric Gruber,4,NaN
"$1,300",(Blank),"$1,625",3.8%,Jeff Hay,4,NaN
"$1,300",(Blank),"$1,625",3.8%,Julian Isla,2,NaN
"$1,300",(Blank),"$1,625",3.8%,Molly Clark,7,NaN
"$1,300",(Blank),"$1,625",3.8%,Spencer Low,2,NaN
"$1,300",(Blank),"$1,625",4.0%,Anne Weiler,1,NaN
"$1,300",(Blank),"$1,625",4.0%,Alan Steiner,3,NaN
"$1,300",(Blank),"$1,625",0.1%,Sanjay Shah,1,NaN
"$1,300",(Blank),"$1,625",3.6%,Sanjay Shah,1,NaN
"$1,300",(Blank),"$1,625",2.1%,Anne Weiler,2,NaN
"$1,300",(Blank),"$1,625",2.1%,Sanjay Shah,2,NaN
"$1,300",(Blank),"$1,625",2.2%,Anne Weiler,3,NaN
"$1,300",(Blank),"$1,625",2.2%,Sanjay Shah,9,NaN
"$1,300",(Blank),"$1,625",2.2%,Greg Winston,24,NaN
"$1,300",(Blank),"$1,625",2.2%,Renee Lo,4,NaN
"$1,300",(Blank),"$1,625",2.3%,Alan Steiner,10,NaN
"$1,300",(Blank),"$1,625",2.3%,Alicia Thomber,31,NaN
"$1,300",(Blank),"$1,625",2.3%,David So,35,NaN
"$1,300",(Blank),"$1,625",2.3%,Eric Gruber,19,NaN
"$1,300",(Blank),"$1,625",2.3%,Jeff Hay,8,NaN
"$1,300",(Blank),"$1,625",2.3%,Julian Isla,8,NaN
"$1,300",(Blank),"$1,625",2.3%,Molly Clark,29,NaN
"$1,300",(Blank),"$1,625",2.3%,Spencer Low,8,NaN
"$1,300",(Blank),"$1,625",2.5%,Anne Weiler,12,NaN
"$1,300",(Blank),"$1,625",2.5%,Renee Lo,2,NaN
"$1,300",(Blank),"$1,625",2.5%,Alan Steiner,16,NaN
"$1,300",(Blank),"$1,625",2.5%,Molly Clark,2,NaN
"$1,300",(Blank),"$1,625",6.2%,Greg Winston,3,NaN
"$1,300",(Blank),"$1,625",6.2%,Renee Lo,1,NaN
"$1,300",(Blank),"$1,625",6.3%,Anne Weiler,1,NaN
"$1,300",(Blank),"$1,625",6.3%,Alan Steiner,2,NaN
"$1,300",(Blank),"$1,625",6.3%,David So,7,NaN
"$1,300",(Blank),"$1,625",6.3%,Eric Gruber,3,NaN
"$1,300",(Blank),"$1,625",6.3%,Jeff Hay,1,NaN
"$1,300",(Blank),"$1,625",6.3%,Julian Isla,1,NaN
"$1,300",(Blank),"$1,625",6.3%,Molly Clark,5,NaN
"$1,300",(Blank),"$1,625",6.3%,Spencer Low,5,NaN
"$1,300",(Blank),"$1,625",6.5%,Anne Weiler,2,NaN
"$1,300",(Blank),"$1,625",6.5%,Alan Steiner,2,NaN
"$1,300",(Blank),"$1,625",6.5%,Molly Clark,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",3.7%,Greg Winston,2,NaN
"$1,300",Consumer Tradeshow,"$1,625",3.8%,Eric Gruber,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",5.5%,Anne Weiler,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",5.3%,David So,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",5.3%,Julian Isla,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",5.3%,Molly Clark,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",5.2%,Greg Winston,2,NaN
"$1,300",Consumer Tradeshow,"$1,625",8.0%,Anne Weiler,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",7.8%,Alan Steiner,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",7.8%,Alicia Thomber,2,NaN
"$1,300",Consumer Tradeshow,"$1,625",7.8%,David So,1,NaN
"$1,300",Consumer Tradeshow,"$1,625",5.1%,Sanjay Shah,1,NaN
"$1,300",Customer Care Campaign,"$1,625",4.8%,David So,1,NaN
"$1,300",Customer Care Campaign,"$1,625",4.8%,Molly Clark,2,NaN
"$1,300",Customer Care Campaign,"$1,625",2.7%,Greg Winston,1,NaN
"$1,300",Customer Care Campaign,"$1,625",2.7%,Renee Lo,1,NaN
"$1,300",Customer Care Campaign,"$1,625",4.7%,Greg Winston,1,NaN
"$1,300",Customer Care Campaign,"$1,625",2.8%,Alan Steiner,1,NaN
"$1,300",Customer Care Campaign,"$1,625",2.8%,David So,1,NaN
"$1,300",Customer Care Campaign,"$1,625",2.8%,Julian Isla,1,NaN
"$1,300",Customer Care Campaign,"$1,625",5.0%,Anne Weiler,1,NaN
"$1,400",(Blank),"$1,750",0.2%,Greg Winston,5,NaN
"$1,400",(Blank),"$1,750",0.2%,Renee Lo,1,NaN
"$1,400",(Blank),"$1,750",0.3%,Alan Steiner,1,NaN
"$1,400",(Blank),"$1,750",0.3%,Alicia Thomber,3,NaN
"$1,400",(Blank),"$1,750",0.3%,David So,6,NaN
"$1,400",(Blank),"$1,750",0.3%,Eric Gruber,3,NaN
"$1,400",(Blank),"$1,750",0.3%,Jeff Hay,3,NaN
"$1,400",(Blank),"$1,750",0.3%,Julian Isla,1,NaN
"$1,400",(Blank),"$1,750",0.3%,Molly Clark,5,NaN
"$1,400",(Blank),"$1,750",0.5%,Renee Lo,1,NaN
"$1,400",(Blank),"$1,750",0.5%,Alan Steiner,4,NaN
"$1,400",(Blank),"$1,750",3.7%,Anne Weiler,1,NaN
"$1,400",(Blank),"$1,750",3.7%,Greg Winston,10,NaN
"$1,400",(Blank),"$1,750",3.7%,Renee Lo,1,NaN
"$1,400",(Blank),"$1,750",3.8%,Anne Weiler,1,NaN
"$1,400",(Blank),"$1,750",3.8%,Alan Steiner,1,NaN
"$1,400",(Blank),"$1,750",3.8%,Alicia Thomber,2,NaN
"$1,400",(Blank),"$1,750",3.8%,David So,4,NaN
"$1,400",(Blank),"$1,750",3.8%,Jeff Hay,5,NaN
"$1,400",(Blank),"$1,750",3.8%,Julian Isla,4,NaN
"$1,400",(Blank),"$1,750",3.8%,Molly Clark,2,NaN
"$1,400",(Blank),"$1,750",3.8%,Spencer Low,2,NaN
"$1,400",(Blank),"$1,750",4.0%,Anne Weiler,1,NaN
"$1,400",(Blank),"$1,750",4.0%,Renee Lo,1,NaN
"$1,400",(Blank),"$1,750",4.0%,Alan Steiner,2,NaN
"$1,400",(Blank),"$1,750",0.1%,Sanjay Shah,1,NaN
"$1,400",(Blank),"$1,750",3.6%,Sanjay Shah,3,NaN
"$1,400",(Blank),"$1,750",2.1%,Anne Weiler,3,NaN
"$1,400",(Blank),"$1,750",2.1%,Sanjay Shah,7,NaN
"$1,400",(Blank),"$1,750",2.2%,Anne Weiler,5,NaN
"$1,400",(Blank),"$1,750",2.2%,Sanjay Shah,2,NaN
"$1,400",(Blank),"$1,750",2.2%,Greg Winston,28,NaN
"$1,400",(Blank),"$1,750",2.2%,Renee Lo,7,NaN
"$1,400",(Blank),"$1,750",2.3%,Alan Steiner,15,NaN
"$1,400",(Blank),"$1,750",2.3%,Alicia Thomber,25,NaN
"$1,400",(Blank),"$1,750",2.3%,David So,25,NaN
"$1,400",(Blank),"$1,750",2.3%,Eric Gruber,19,NaN
"$1,400",(Blank),"$1,750",2.3%,Jeff Hay,3,NaN
"$1,400",(Blank),"$1,750",2.3%,Julian Isla,12,NaN
"$1,400",(Blank),"$1,750",2.3%,Molly Clark,19,NaN
"$1,400",(Blank),"$1,750",2.3%,Spencer Low,9,NaN
"$1,400",(Blank),"$1,750",2.5%,Anne Weiler,20,NaN
"$1,400",(Blank),"$1,750",2.5%,Renee Lo,1,NaN
"$1,400",(Blank),"$1,750",2.5%,Alan Steiner,16,NaN
"$1,400",(Blank),"$1,750",2.5%,Molly Clark,4,NaN
"$1,400",(Blank),"$1,750",6.2%,Sanjay Shah,1,NaN
"$1,400",(Blank),"$1,750",6.2%,Greg Winston,3,NaN
"$1,400",(Blank),"$1,750",6.2%,Renee Lo,1,NaN
"$1,400",(Blank),"$1,750",6.3%,Alan Steiner,1,NaN
"$1,400",(Blank),"$1,750",6.3%,Alicia Thomber,2,NaN
"$1,400",(Blank),"$1,750",6.3%,David So,7,NaN
"$1,400",(Blank),"$1,750",6.3%,Eric Gruber,4,NaN
"$1,400",(Blank),"$1,750",6.3%,Jeff Hay,2,NaN
"$1,400",(Blank),"$1,750",6.3%,Julian Isla,3,NaN
"$1,400",(Blank),"$1,750",6.3%,Molly Clark,7,NaN
"$1,400",(Blank),"$1,750",6.3%,Spencer Low,3,NaN
"$1,400",(Blank),"$1,750",6.5%,Anne Weiler,1,NaN
"$1,400",(Blank),"$1,750",6.5%,Alan Steiner,2,NaN
"$1,400",(Blank),"$1,750",6.5%,Molly Clark,2,NaN
"$1,400",Consumer Tradeshow,"$1,750",3.8%,David So,1,NaN
"$1,400",Consumer Tradeshow,"$1,750",5.5%,Renee Lo,1,NaN
"$1,400",Consumer Tradeshow,"$1,750",5.3%,Alicia Thomber,1,NaN
"$1,400",Consumer Tradeshow,"$1,750",5.3%,David So,1,NaN
"$1,400",Consumer Tradeshow,"$1,750",5.3%,Molly Clark,3,NaN
"$1,400",Consumer Tradeshow,"$1,750",7.7%,Anne Weiler,1,NaN
"$1,400",Consumer Tradeshow,"$1,750",7.8%,Alan Steiner,1,NaN
"$1,400",Customer Care Campaign,"$1,750",6.3%,Alicia Thomber,2,NaN
"$1,400",Customer Care Campaign,"$1,750",4.8%,David So,1,NaN
"$1,400",Customer Care Campaign,"$1,750",4.8%,Eric Gruber,1,NaN
"$1,400",Customer Care Campaign,"$1,750",4.8%,Jeff Hay,1,NaN
"$1,400",Customer Care Campaign,"$1,750",4.8%,Molly Clark,1,NaN
"$1,400",Customer Care Campaign,"$1,750",4.8%,Spencer Low,1,NaN
"$1,400",Customer Care Campaign,"$1,750",4.7%,Anne Weiler,1,NaN
"$1,400",Customer Care Campaign,"$1,750",4.7%,Greg Winston,1,NaN
"$1,400",Customer Care Campaign,"$1,750",4.7%,Renee Lo,1,NaN
"$1,400",Customer Care Campaign,"$1,750",2.8%,Alicia Thomber,1,NaN
"$1,400",Customer Care Campaign,"$1,750",2.8%,David So,2,NaN
"$1,400",Customer Care Campaign,"$1,750",5.0%,Anne Weiler,2,NaN
"$1,400",Customer Care Campaign,"$1,750",8.8%,Alicia Thomber,1,NaN
"$1,500",(Blank),"$1,875",0.2%,Anne Weiler,1,NaN
"$1,500",(Blank),"$1,875",0.2%,Sanjay Shah,4,NaN
"$1,500",(Blank),"$1,875",0.3%,Alicia Thomber,2,NaN
"$1,500",(Blank),"$1,875",0.3%,David So,7,NaN
"$1,500",(Blank),"$1,875",0.3%,Eric Gruber,6,NaN
"$1,500",(Blank),"$1,875",0.3%,Julian Isla,2,NaN
"$1,500",(Blank),"$1,875",0.3%,Molly Clark,3,NaN
"$1,500",(Blank),"$1,875",0.3%,Spencer Low,5,NaN
"$1,500",(Blank),"$1,875",0.5%,Anne Weiler,1,NaN
"$1,500",(Blank),"$1,875",0.5%,Alan Steiner,1,NaN
"$1,500",(Blank),"$1,875",0.5%,Molly Clark,1,NaN
"$1,500",(Blank),"$1,875",3.7%,Anne Weiler,1,NaN
"$1,500",(Blank),"$1,875",3.7%,Sanjay Shah,1,NaN
"$1,500",(Blank),"$1,875",3.7%,Greg Winston,9,NaN
"$1,500",(Blank),"$1,875",3.7%,Renee Lo,1,NaN
"$1,500",(Blank),"$1,875",3.8%,Alan Steiner,3,NaN
"$1,500",(Blank),"$1,875",3.8%,Alicia Thomber,8,NaN
"$1,500",(Blank),"$1,875",3.8%,David So,9,NaN
"$1,500",(Blank),"$1,875",3.8%,Eric Gruber,2,NaN
"$1,500",(Blank),"$1,875",3.8%,Jeff Hay,6,NaN
"$1,500",(Blank),"$1,875",3.8%,Julian Isla,2,NaN
"$1,500",(Blank),"$1,875",3.8%,Molly Clark,5,NaN
"$1,500",(Blank),"$1,875",3.8%,Spencer Low,4,NaN
"$1,500",(Blank),"$1,875",4.0%,Anne Weiler,3,NaN
"$1,500",(Blank),"$1,875",4.0%,Alan Steiner,3,NaN
"$1,500",(Blank),"$1,875",3.6%,Sanjay Shah,2,NaN
"$1,500",(Blank),"$1,875",2.3%,Alicia Thomber,1,NaN
"$1,500",(Blank),"$1,875",2.5%,Anne Weiler,1,NaN
"$1,500",(Blank),"$1,875",6.1%,Anne Weiler,1,NaN
"$1,500",(Blank),"$1,875",6.2%,Anne Weiler,2,NaN
"$1,500",(Blank),"$1,875",6.2%,Greg Winston,7,NaN
"$1,500",(Blank),"$1,875",6.2%,Renee Lo,1,NaN
"$1,500",(Blank),"$1,875",6.3%,Alicia Thomber,5,NaN
"$1,500",(Blank),"$1,875",6.3%,David So,1,NaN
"$1,500",(Blank),"$1,875",6.3%,Eric Gruber,4,NaN
"$1,500",(Blank),"$1,875",6.3%,Jeff Hay,1,NaN
"$1,500",(Blank),"$1,875",6.3%,Julian Isla,1,NaN
"$1,500",(Blank),"$1,875",6.3%,Molly Clark,5,NaN
"$1,500",(Blank),"$1,875",6.3%,Spencer Low,1,NaN
"$1,500",(Blank),"$1,875",6.5%,Renee Lo,1,NaN
"$1,500",(Blank),"$1,875",6.5%,Alan Steiner,2,NaN
"$1,500",Consumer Tradeshow,"$1,875",5.5%,Molly Clark,1,NaN
"$1,500",Consumer Tradeshow,"$1,875",5.3%,David So,2,NaN
"$1,500",Consumer Tradeshow,"$1,875",5.3%,Molly Clark,1,NaN
"$1,500",Consumer Tradeshow,"$1,875",5.3%,Spencer Low,1,NaN
"$1,500",Consumer Tradeshow,"$1,875",5.2%,Sanjay Shah,1,NaN
"$1,500",Consumer Tradeshow,"$1,875",5.2%,Greg Winston,1,NaN
"$1,500",Consumer Tradeshow,"$1,875",7.8%,Alicia Thomber,1,NaN
"$1,500",Consumer Tradeshow,"$1,875",7.8%,David So,1,NaN
"$1,500",Consumer Tradeshow,"$1,875",7.8%,Molly Clark,2,NaN
"$1,500",Consumer Tradeshow,"$1,875",7.8%,Spencer Low,1,NaN
"$1,500",Customer Care Campaign,"$1,875",6.3%,Julian Isla,1,NaN
"$1,500",Customer Care Campaign,"$1,875",6.3%,Spencer Low,1,NaN
"$1,500",Customer Care Campaign,"$1,875",2.8%,Alicia Thomber,1,NaN
"$1,500",Customer Care Campaign,"$1,875",2.8%,Jeff Hay,1,NaN
"$1,500",Customer Care Campaign,"$1,875",9.0%,Anne Weiler,1,NaN
"$1,600",(Blank),"$2,000",0.2%,Anne Weiler,1,NaN
"$1,600",(Blank),"$2,000",0.2%,Greg Winston,2,NaN
"$1,600",(Blank),"$2,000",0.3%,Alan Steiner,1,NaN
"$1,600",(Blank),"$2,000",0.3%,David So,3,NaN
"$1,600",(Blank),"$2,000",0.3%,Jeff Hay,3,NaN
"$1,600",(Blank),"$2,000",0.3%,Molly Clark,5,NaN
"$1,600",(Blank),"$2,000",0.3%,Spencer Low,1,NaN
"$1,600",(Blank),"$2,000",0.5%,Anne Weiler,2,NaN
"$1,600",(Blank),"$2,000",0.5%,Alan Steiner,2,NaN
"$1,600",(Blank),"$2,000",3.7%,Anne Weiler,1,NaN
"$1,600",(Blank),"$2,000",3.7%,Sanjay Shah,1,NaN
"$1,600",(Blank),"$2,000",3.7%,Greg Winston,10,NaN
"$1,600",(Blank),"$2,000",3.8%,Alan Steiner,3,NaN
"$1,600",(Blank),"$2,000",3.8%,Alicia Thomber,4,NaN
"$1,600",(Blank),"$2,000",3.8%,David So,3,NaN
"$1,600",(Blank),"$2,000",3.8%,Eric Gruber,3,NaN
"$1,600",(Blank),"$2,000",3.8%,Julian Isla,2,NaN
"$1,600",(Blank),"$2,000",3.8%,Molly Clark,7,NaN
"$1,600",(Blank),"$2,000",3.8%,Spencer Low,2,NaN
"$1,600",(Blank),"$2,000",4.0%,Anne Weiler,3,NaN
"$1,600",(Blank),"$2,000",4.0%,Alan Steiner,1,NaN
"$1,600",(Blank),"$2,000",0.1%,Anne Weiler,2,NaN
"$1,600",(Blank),"$2,000",0.1%,Sanjay Shah,1,NaN
"$1,600",(Blank),"$2,000",3.6%,Anne Weiler,1,NaN
"$1,600",(Blank),"$2,000",6.2%,Anne Weiler,1,NaN
"$1,600",(Blank),"$2,000",6.2%,Sanjay Shah,2,NaN
"$1,600",(Blank),"$2,000",6.2%,Greg Winston,5,NaN
"$1,600",(Blank),"$2,000",6.3%,Alan Steiner,2,NaN
"$1,600",(Blank),"$2,000",6.3%,Alicia Thomber,1,NaN
"$1,600",(Blank),"$2,000",6.3%,David So,7,NaN
"$1,600",(Blank),"$2,000",6.3%,Eric Gruber,4,NaN
"$1,600",(Blank),"$2,000",6.3%,Jeff Hay,3,NaN
"$1,600",(Blank),"$2,000",6.3%,Julian Isla,2,NaN
"$1,600",(Blank),"$2,000",6.3%,Molly Clark,6,NaN
"$1,600",(Blank),"$2,000",6.5%,Anne Weiler,1,NaN
"$1,600",(Blank),"$2,000",6.5%,Alan Steiner,3,NaN
"$1,600",Consumer Tradeshow,"$2,000",5.3%,Alicia Thomber,1,NaN
"$1,600",Consumer Tradeshow,"$2,000",5.3%,Molly Clark,2,NaN
"$1,600",Consumer Tradeshow,"$2,000",5.2%,Sanjay Shah,1,NaN
"$1,600",Consumer Tradeshow,"$2,000",5.2%,Greg Winston,1,NaN
"$1,600",Consumer Tradeshow,"$2,000",7.7%,Greg Winston,2,NaN
"$1,600",Consumer Tradeshow,"$2,000",8.0%,Anne Weiler,2,NaN
"$1,600",Consumer Tradeshow,"$2,000",7.8%,Jeff Hay,1,NaN
"$1,600",Consumer Tradeshow,"$2,000",7.8%,Molly Clark,2,NaN
"$1,600",Customer Care Campaign,"$2,000",6.2%,Sanjay Shah,1,NaN
"$1,600",Customer Care Campaign,"$2,000",6.3%,David So,1,NaN
"$1,600",Customer Care Campaign,"$2,000",2.7%,Greg Winston,1,NaN
"$1,600",Customer Care Campaign,"$2,000",2.8%,Alan Steiner,1,NaN
"$1,600",Customer Care Campaign,"$2,000",2.8%,David So,1,NaN
"$1,600",Customer Care Campaign,"$2,000",2.8%,Eric Gruber,1,NaN
"$1,600",Customer Care Campaign,"$2,000",2.8%,Jeff Hay,1,NaN
"$1,600",Customer Care Campaign,"$2,000",8.8%,Eric Gruber,1,NaN
"$1,700",(Blank),"$2,125",0.2%,Sanjay Shah,1,NaN
"$1,700",(Blank),"$2,125",0.2%,Greg Winston,2,NaN
"$1,700",(Blank),"$2,125",0.3%,Alan Steiner,2,NaN
"$1,700",(Blank),"$2,125",0.3%,Alicia Thomber,1,NaN
"$1,700",(Blank),"$2,125",0.3%,David So,3,NaN
"$1,700",(Blank),"$2,125",0.3%,Eric Gruber,5,NaN
"$1,700",(Blank),"$2,125",0.3%,Jeff Hay,1,NaN
"$1,700",(Blank),"$2,125",0.3%,Julian Isla,3,NaN
"$1,700",(Blank),"$2,125",0.3%,Molly Clark,4,NaN
"$1,700",(Blank),"$2,125",0.5%,Anne Weiler,5,NaN
"$1,700",(Blank),"$2,125",0.5%,Alan Steiner,4,NaN
"$1,700",(Blank),"$2,125",0.5%,Molly Clark,1,NaN
"$1,700",(Blank),"$2,125",3.7%,Anne Weiler,1,NaN
"$1,700",(Blank),"$2,125",3.7%,Sanjay Shah,2,NaN
"$1,700",(Blank),"$2,125",3.7%,Greg Winston,5,NaN
